gene	accession	hmmsource
K00265_1.4.1.13,1.4.1.14	HMMsoil4850	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil4859	FOAM_DB
K00362_1.7.1.4	HMMsoil5025	FOAM_DB
K00372,K00369_1.7.99.4	HMMsoil5049	FOAM_DB
K04014	HMMsoil5053	FOAM_DB
K00372_1.7.99.4	HMMsoil5064	FOAM_DB
K00362_1.7.1.4	HMMsoil5083	FOAM_DB
K00362_1.7.1.4	HMMsoil5118	FOAM_DB
K00372_1.7.99.4	HMMsoil5232	FOAM_DB
K00372_1.7.99.4	HMMsoil5292	FOAM_DB
K00362_1.7.1.4	HMMsoil5296	FOAM_DB
K00360,K00387_1.7.1.1,1.8.3.1	HMMsoil5352	FOAM_DB
K00372_1.7.99.4	HMMsoil5330	FOAM_DB
K00362_1.7.1.4	HMMsoil5385	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil5410	FOAM_DB
K00362_1.7.1.4	HMMsoil5567	FOAM_DB
K00366_1.7.7.1	HMMsoil5584	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil5734	FOAM_DB
K00366_1.7.7.1	HMMsoil5642	FOAM_DB
K00376_1.7.99.6	HMMsoil5643	FOAM_DB
K00362_1.7.1.4	HMMsoil5646	FOAM_DB
K00362_1.7.1.4	HMMsoil5651	FOAM_DB
K00366_1.7.7.1	HMMsoil5849	FOAM_DB
K00362_1.7.1.4	HMMsoil5813	FOAM_DB
K01915_6.3.1.2	HMMsoil5901	FOAM_DB
K00374_1.7.99.4	HMMsoil6018	FOAM_DB
K02595	HMMsoil6030	FOAM_DB
K02567_1.7.99.4	HMMsoil6086	FOAM_DB
K04014	HMMsoil6105	FOAM_DB
K00360_1.7.1.1	HMMsoil6111	FOAM_DB
K00372_1.7.99.4	HMMsoil6002	FOAM_DB
K00374_1.7.99.4	HMMsoil6057	FOAM_DB
K00368_1.7.2.1	HMMsoil6062	FOAM_DB
K02567_1.7.99.4	HMMsoil6072	FOAM_DB
K00372_1.7.99.4	HMMsoil6126	FOAM_DB
K00372_1.7.99.4	HMMsoil6204	FOAM_DB
K00360_1.7.1.1	HMMsoil6362	FOAM_DB
K04014	HMMsoil6311	FOAM_DB
K00368,K15864_1.7.2.1,1.7.99.1	HMMsoil6391	FOAM_DB
K04014	HMMsoil6399	FOAM_DB
K00362_1.7.1.4	HMMsoil6405	FOAM_DB
K01915_6.3.1.2	HMMsoil6411	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil6539	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil6472	FOAM_DB
K00362_1.7.1.4	HMMsoil6477	FOAM_DB
K00372_1.7.99.4	HMMsoil6614	FOAM_DB
K02591_1.18.6.1	HMMsoil6701	FOAM_DB
K00372_1.7.99.4	HMMsoil6719	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil6720	FOAM_DB
K00370_1.7.99.4	HMMsoil6729	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil6789	FOAM_DB
K00366_1.7.7.1	HMMsoil6898	FOAM_DB
K00374,K08347_1.7.99.4	HMMsoil6914	FOAM_DB
K00362_1.7.1.4	HMMsoil6930	FOAM_DB
K04014	HMMsoil6941	FOAM_DB
K00370_1.7.99.4	HMMsoil6981	FOAM_DB
K00370_1.7.99.4	HMMsoil6982	FOAM_DB
K01915_6.3.1.2	HMMsoil6999	FOAM_DB
K00366_1.7.7.1	HMMsoil7142	FOAM_DB
K02586_1.18.6.1	HMMsoil7202	FOAM_DB
K04014	HMMsoil7156	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil7163	FOAM_DB
K00362_1.7.1.4	HMMsoil7201	FOAM_DB
K00362_1.7.1.4	HMMsoil7242	FOAM_DB
K00372,K00369_1.7.99.4	HMMsoil7283	FOAM_DB
K00370,K08345_1.7.99.4	HMMsoil7456	FOAM_DB
K01915_6.3.1.2	HMMsoil7470	FOAM_DB
K00372_1.7.99.4	HMMsoil7503	FOAM_DB
K00372,K00369_1.7.99.4	HMMsoil7510	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil7480	FOAM_DB
K00360,K00387_1.7.1.1,1.8.3.1	HMMsoil7487	FOAM_DB
K00372_1.7.99.4	HMMsoil7539	FOAM_DB
K00372_1.7.99.4	HMMsoil7686	FOAM_DB
K00372_1.7.99.4	HMMsoil7705	FOAM_DB
K15864,K00368,K05601_1.7.2.1,1.7.99.1	HMMsoil7717	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil7726	FOAM_DB
K00362_1.7.1.4	HMMsoil7748	FOAM_DB
K00362_1.7.1.4	HMMsoil7758	FOAM_DB
K00372_1.7.99.4	HMMsoil7766	FOAM_DB
K04014	HMMsoil7769	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil7798	FOAM_DB
K00362_1.7.1.4	HMMsoil7804	FOAM_DB
K01953_6.3.5.4	HMMsoil7829	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil7975	FOAM_DB
K00366_1.7.7.1	HMMsoil7885	FOAM_DB
K00372_1.7.99.4	HMMsoil7946	FOAM_DB
K15906	HMMsoil7951	FOAM_DB
K08361	HMMsoil8008	FOAM_DB
K02305	HMMsoil8011	FOAM_DB
K00362_1.7.1.4	HMMsoil8023	FOAM_DB
K00372_1.7.99.4	HMMsoil8291	FOAM_DB
K02591_1.18.6.1	HMMsoil8539	FOAM_DB
K02305	HMMsoil8392	FOAM_DB
K00372_1.7.99.4	HMMsoil8420	FOAM_DB
K10535_1.7.3.4	HMMsoil8459	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil8482	FOAM_DB
K00366_1.7.7.1	HMMsoil8494	FOAM_DB
K00362_1.7.1.4	HMMsoil8503	FOAM_DB
K00362_1.7.1.4	HMMsoil8506	FOAM_DB
K00372,K00369_1.7.99.4	HMMsoil8514	FOAM_DB
K00373	HMMsoil8530	FOAM_DB
K00362_1.7.1.4	HMMsoil8046	FOAM_DB
K00372_1.7.99.4	HMMsoil8223	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil8563	FOAM_DB
K04014	HMMsoil8774	FOAM_DB
K00360_1.7.1.1	HMMsoil8682	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil8722	FOAM_DB
K00371,K08346_1.7.99.4	HMMsoil8779	FOAM_DB
K00366_1.7.7.1	HMMsoil8883	FOAM_DB
K03385_1.7.2.2	HMMsoil8860	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil8917	FOAM_DB
K00366,K00392_1.7.7.1,1.8.7.1	HMMsoil9055	FOAM_DB
K00372_1.7.99.4	HMMsoil9060	FOAM_DB
K15864	HMMsoil9100	FOAM_DB
K04014	HMMsoil9106	FOAM_DB
K00362_1.7.1.4	HMMsoil9108	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil9116	FOAM_DB
K00362_1.7.1.4	HMMsoil9119	FOAM_DB
K04014	HMMsoil9120	FOAM_DB
K00266,K00264_1.4.1.13,1.4.1.14	HMMsoil9121	FOAM_DB
K00362_1.7.1.4	HMMsoil9122	FOAM_DB
K00366_1.7.7.1	HMMsoil9279	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil9282	FOAM_DB
K00366_1.7.7.1	HMMsoil9302	FOAM_DB
K00362_1.7.1.4	HMMsoil9332	FOAM_DB
K00362_1.7.1.4	HMMsoil9349	FOAM_DB
K00372_1.7.99.4	HMMsoil9350	FOAM_DB
K00372_1.7.99.4	HMMsoil9357	FOAM_DB
K00362_1.7.1.4	HMMsoil9359	FOAM_DB
K00362_1.7.1.4	HMMsoil9365	FOAM_DB
K00372,K02567_1.7.99.4	HMMsoil9369	FOAM_DB
K00374_1.7.99.4	HMMsoil9575	FOAM_DB
K00366_1.7.7.1	HMMsoil9522	FOAM_DB
K00372_1.7.99.4	HMMsoil9553	FOAM_DB
