gene	accession	hmmsource
KO:K02482_2.7.13.3	HMMsoil111	FOAM_DB
KO:K11188,KO:K00430_1.11.1.7,1.11.1.15,3.1.1.-	HMMsoil112	FOAM_DB
KO:K02509_4.2.1.-	HMMsoil113	FOAM_DB
KO:K00155	HMMsoil114	FOAM_DB
KO:K01692_4.2.1.17	HMMsoil115	FOAM_DB
KO:K01179_3.2.1.4	HMMsoil116	FOAM_DB
KO:K00499_1.14.15.7	HMMsoil117	FOAM_DB
KO:K01835,KO:K01840_5.4.2.2,5.4.2.8	HMMsoil118	FOAM_DB
KO:K09970	HMMsoil120	FOAM_DB
KO:K01955_6.3.5.5	HMMsoil119	FOAM_DB
KO:K11071	HMMsoil121	FOAM_DB
KO:K00446_1.13.11.2	HMMsoil122	FOAM_DB
KO:K04564_1.15.1.1	HMMsoil123	FOAM_DB
KO:K07683,KO:K07777_2.7.13.3	HMMsoil125	FOAM_DB
KO:K00164_1.2.4.2	HMMsoil126	FOAM_DB
KO:K11229_2.7.11.1	HMMsoil127	FOAM_DB
KO:K00599	HMMsoil128	FOAM_DB
KO:K07642_2.7.13.3	HMMsoil129	FOAM_DB
KO:K01692_4.2.1.17	HMMsoil130	FOAM_DB
KO:K00517	HMMsoil131	FOAM_DB
KO:K00134_1.2.1.12	HMMsoil132	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil133	FOAM_DB
KO:K02342_2.7.7.7	HMMsoil134	FOAM_DB
KO:K03407_2.7.13.3	HMMsoil135	FOAM_DB
KO:K01537_3.6.3.8	HMMsoil136	FOAM_DB
KO:K08856,KO:K08282,KO:K08853,KO:K08286,KO:K08854,KO:K08855_2.7.11.1,2.7.11.-	HMMsoil137	FOAM_DB
KO:K01951_6.3.5.2	HMMsoil138	FOAM_DB
KO:K01835_5.4.2.2	HMMsoil139	FOAM_DB
KO:K02476_2.7.13.3	HMMsoil140	FOAM_DB
KO:K01509_3.6.1.3	HMMsoil141	FOAM_DB
KO:K05349_3.2.1.21	HMMsoil142	FOAM_DB
KO:K13117_3.6.4.13	HMMsoil143	FOAM_DB
KO:K08282_2.7.11.1	HMMsoil144	FOAM_DB
KO:K02486_2.7.13.3	HMMsoil145	FOAM_DB
KO:K08840,KO:K08282,KO:K04407,KO:K04413,KO:K08834,KO:K08836,KO:K08837_2.7.11.1	HMMsoil146	FOAM_DB
KO:K04042_2.7.7.23,2.3.1.157	HMMsoil147	FOAM_DB
KO:K01956_6.3.5.5	HMMsoil148	FOAM_DB
KO:K00128,KO:K14519,KO:K00155,KO:K00146,KO:K00206_1.2.1.3,1.2.1.4,1.2.1.39	HMMsoil149	FOAM_DB
